geneID,45_highdata,90_highdata,180_highdata,360_highdata,720_highdata,1440_highdata,45_lowdata,90_lowdata,180_lowdata,360_lowdata,720_lowdata,1440_lowdata,estm,pred
ELAC2,0.599283644,0.643582496,0.762609622,0.95371086,1.017103903,1.024175075,0.685572062,0.79655989,0.810035988,0.960529406,1.081801972,1.09597422,inhibition,1
ELAVL1,0.554420992,0.558478667,0.73622143,0.910548163,1.009198519,1.029371885,0.669483981,0.708931871,0.785702446,0.827642199,0.940226505,1.007256223,inhibition,1
ELOF1,0.674591383,0.821156322,0.872007102,0.958250859,0.988283951,1.027020247,0.808662442,0.9017815,0.938652226,0.837436721,1.154102186,1.076397021,inhibition,1
ELOVL5,0.583736259,0.743744096,0.916670004,0.975386608,0.991606547,1.055443626,0.704198098,0.763619917,0.849484709,1.053685159,1.013249035,1.000637597,inhibition,1
ELOVL6,0.421670812,0.496825519,0.785222469,0.823651737,0.914716467,1.002171161,0.62328558,0.657412569,0.847321919,0.823503216,0.900970539,1.036129345,inhibition,1
ELOVL7,0.614938585,0.722103465,0.869600816,0.995587701,1.014988129,1.018409142,0.817408604,0.715312937,0.852393163,0.951945335,0.940527883,1.153339145,inhibition,1
ELP3,0.679542103,0.726669,0.791022128,0.811992023,0.928235571,0.965841794,1.000449403,0.686763955,0.873248071,1.13182137,0.992937483,0.922558964,inhibition,1
ELP4,0.640729768,0.76030994,0.871348772,0.911745084,1.006368609,1.021580926,0.899029956,1.073390943,0.87731766,0.871312997,1.114495524,0.932089123,inhibition,1
EMC1,0.675985969,0.871045631,0.902212724,0.905450189,0.907576071,0.951180931,0.86819259,0.925953197,1.0012505,0.886509872,0.992182711,1.000366892,inhibition,1
EMC8,0.503069368,0.542582881,0.749908211,1.044842577,1.054297974,1.137019852,0.627788778,0.69809467,0.892685184,1.034714134,0.998324976,1.097909724,inhibition,1
EMD,0.619669961,0.751099308,0.763478754,0.943265888,1.00807169,1.050768256,0.755403696,0.821195774,0.932450849,1.09342793,0.992049695,1.04163455,inhibition,1
